Hugo_Symbol	Entrez_Gene_Id	GTEX-13NYB-1726-SM-5N9G2	GTEX-QDVN-1626-SM-48TZC	GTEX-ZYT6-2226-SM-5GIC9	GTEX-11TTK-1926-SM-5PNW8	GTEX-ZC5H-1726-SM-5HL7X	GTEX-ZVZP-0926-SM-5GIDB	GTEX-P4QS-1126-SM-3NMD5	GTEX-RN64-1626-SM-48FD7	GTEX-ZYFG-1626-SM-5GZYY	GTEX-N7MS-1626-SM-3LK5F	GTEX-13OW6-1826-SM-5N9F9	GTEX-T5JC-1526-SM-4DM68	GTEX-ZLFU-0926-SM-5P9F8	GTEX-1497J-0826-SM-5NQAJ	GTEX-13112-2126-SM-5GCO4	GTEX-UPIC-1126-SM-4IHLO	GTEX-145MN-0326-SM-5QGQI	GTEX-13O1R-2526-SM-5N9FW	GTEX-11GS4-2326-SM-5A5KS	GTEX-13OVI-1126-SM-5KLZF	GTEX-XPVG-0526-SM-4B65N	GTEX-13OVL-1826-SM-5KLZR	GTEX-QLQW-1626-SM-4R1K1	GTEX-12696-0926-SM-5FQTV	GTEX-1399S-0526-SM-5IJG8	GTEX-147F4-2626-SM-5Q5CS	GTEX-13RTJ-2226-SM-5S2Q1	GTEX-Y5V6-2026-SM-5IFHO	GTEX-NPJ8-2226-SM-3TW8D	GTEX-11OF3-1326-SM-5N9FJ	GTEX-ZYFD-1526-SM-5NQ7T	GTEX-12WSG-0826-SM-5EQ5A
METTL21B	25895	420.68	406.31	130.6	215.77	249.73	116.78	303.44	228.13	131.51	525.39	232.94	341.51	237.86	334.46	177.53	336.79	191.67	228.13	87.03	265.87	228.13	183.82	166.73	185.11	85.82	323.03	145.02	220.32	150.17	239.52	139.07	217.27
VSTM2B	342865	1.27	2.32	0.21	0.57	0.35	0.39	0	0	0	1.91	0	1.53	0	0	0.38	0	0	0	0.34	0.22	0.53	1.06	0.39	0	0	1.14	1.91	0.36	0.45	0.41	2.16	0
TXNDC16	57544	80.57	64.8	273.37	301.33	57.08	129.69	49.21	229.72	175.07	31.45	144.01	121.79	190.34	81.71	206.94	88.88	109.66	63	147.06	356.05	98.73	256.78	88.88	105.89	135.24	229.72	124.37	89.51	73.03	113.56	56.68	110.43
ZBTB49	166793	42.71	38.67	80.01	27.05	55.49	65.72	55.1	74.06	68.55	47.84	33.06	39.22	75.64	43.63	90.77	62.12	25.72	67.59	58.3	57.49	46.84	71.5	56.68	54.33	78.34	91.41	27.84	35	52.82	61.68	42.71	58.3
SYT1	6857	27.05	7.82	105.15	17.64	25.91	25.35	13.32	791.35	51.35	22.92	46.84	16.27	35	26.67	180.02	18.56	26.67	19.53	25.72	115.97	22.75	208.38	34.02	82.29	31	28.65	25.54	9.78	12.18	20.56	6.36	28.04
OPCML	4978	43.32	0	473.41	14.03	3.72	61.68	6.21	130.6	55.1	242.88	28.45	99.43	55.1	1.46	253.23	15	17.77	3.47	24.46	12.74	30.34	111.21	22.43	108.9	2.34	120.94	127.89	15.91	1.23	27.05	44.25	10.96
ZNF781	163115	72.52	1.73	77.79	69.52	43.94	64.8	52.08	78.89	72.01	108.9	76.71	41.52	75.11	40.64	53.95	18.56	45.21	4.94	45.53	79.45	9.48	187.71	21.47	7.63	27.84	78.89	69.03	20.26	237.86	55.1	18.43	14.24
DPP9	91039	231.32	271.48	177.53	323.03	320.8	423.61	314.17	603.67	454.09	193.01	246.28	199.85	343.89	470.14	473.41	420.68	373.81	476.71	325.29	285.03	466.88	307.69	591.22	660.68	483.38	343.89	420.68	275.28	511	131.51	389.72	376.41
TEX2	55852	334.46	476.71	525.39	493.56	420.68	379.04	579.04	674.59	674.59	161.02	316.37	988.12	412	435.55	529.06	480.04	532.74	183.82	470.14	493.56	441.64	536.45	463.65	1111.82	525.39	660.68	381.68	842.36	312	205.5	293.07	529.06
MRGPRX2	117194	0	0.26	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0.95	0	0.58	0	0	2.23	0	0	0	0	0	0	0
PDZD9	255762	5.15	2.36	4.66	0	2.92	2.89	3.82	2.46	6.11	10.79	0	5.02	4.62	1.38	4.58	5.32	4.7	1.33	2.39	6.67	2.12	4.7	1.38	1.28	2.73	2.46	3.5	8.19	3.11	2.81	13.83	0
LIPN	643418	0	0	0	1.75	3.03	0	2.53	0	0	0	0	0	0	2.1	0	2.89	0	1.75	0	2.01	1.31	0	2.1	0	0	4.82	0	0	0	2.23	0	3.29
C11orf31	280636	4239.45	2119.22	3060.45	3589.58	2627.46	1936.53	1745.2	2148.82	1950	4575.41	2384.37	2777.33	2178.83	2119.22	2682.69	1819.35	2018.8	2148.82	1977.24	1594.73	1674.06	2367.9	2271.4	2119.22	2004.85	2351.53	3349.13	1733.13	2287.2	4607.24	1662.49	2758.13
RAP1A	5906	1936.53	1096.5	2119.22	3540.14	1167.14	1350.18	1540.37	1963.57	2133.97	2468.49	1277.29	2018.8	1794.29	1340.84	1896.65	1199.98	2119.22	1127.35	1923.14	2075.59	1651	2468.49	1519.15	2061.24	1340.84	2384.37	2193.99	1605.83	2319.15	1295.13	3665.02	1250.98
COL4A5	1287	201.25	58.3	1709.26	371.22	209.84	206.94	115.16	2032.85	400.71	59.13	1111.82	403.5	206.94	162.14	1487.87	406.31	256.78	182.55	660.68	265.87	339.14	2720.15	108.14	616.37	76.17	483.38	218.79	182.55	190.34	511	500.46	157.68
TRPV3	162514	1.39	4.1	3.5	7.94	3.92	10.16	2.48	19.82	3.63	0.18	3.23	2.78	21.47	2.86	1.99	4.17	0.39	3.59	0.8	11.21	5.19	5.15	0.92	3.82	14.24	2.58	0.09	0.88	8.13	3.56	0.09	6.31
ARAF	369	1378.57	1936.53	2384.37	1498.22	1397.83	1572.76	1594.73	1388.16	1359.57	1477.58	1369.04	1008.9	2319.15	1540.37	2319.15	1639.59	1467.37	1096.5	1359.57	1167.14	1487.87	1583.71	1030.12	1437.15	1605.83	1175.27	1963.57	1605.83	1819.35	1313.23	1359.57	1378.57
SOX10	6663	3.17	0.47	3.79	23.93	3.38	4.74	1.31	2.97	4.58	4.28	6.31	3.89	9.2	4.9	3.14	12.83	2.14	4.31	2.46	3.72	5.63	36.53	2.73	0.3	3.23	21.94	2.66	0.92	7.06	1.73	8.92	4.13
INSL5	10022	0	0.47	3.14	0.42	2.78	0.66	1.07	3.47	0	0	0.71	0	0.91	0	3.99	0.75	3.47	0.42	0	0	1.91	2.23	0	0.47	0	0.53	0	0	3.96	1.45	2.51	0.73
ECEL1	9427	1.08	25.35	0.61	20.86	41.81	12.27	85.22	4.06	4.86	7.57	2.63	13.42	32.82	112.77	1.27	84.63	90.14	32.36	41.22	43.63	32.13	0.79	37.85	5.41	9.78	120.94	24.99	41.22	72.01	12.83	42.71	21.78
RNFT1	51136	113.56	159.9	102.25	85.82	239.52	262.2	208.38	295.11	228.13	85.82	80.57	149.12	320.8	297.17	159.9	221.86	244.57	215.77	253.23	397.93	277.2	136.19	211.31	150.17	414.87	281.09	119.26	299.25	101.54	105.15	145.02	205.5
RP11-793H13.10	0	5.5	3.53	19.97	5.73	28.04	15	3.69	48.52	7.63	2.16	5.63	21.47	34.51	11.3	33.3	7.34	2.81	12.55	12	8.85	16.63	13.42	2.71	14.24	19.39	27.05	15.68	0.92	70.51	5.54	47.5	13.93
RP11-15E18.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24	0	0	0	0	0	0	0	3.86	0	0	0	5.45	0	0
RNF39	80352	5.77	6.26	2.89	55.89	7.34	26.1	4.5	30.56	13.52	4.82	6.06	4.78	25.17	8.19	5.59	6.46	16.27	10.16	11.13	30.34	15.45	3.99	4.86	17	19.25	27.05	9.2	0	8.32	6.41	5.19	10.55
SMIM8	57150	228.13	140.04	258.57	107.38	122.64	119.26	156.59	202.66	158.79	195.72	211.31	226.54	163.28	102.97	153.34	181.28	145.02	60.82	186.4	154.42	115.16	258.57	131.51	153.34	120.1	223.41	131.51	134.3	124.37	236.21	119.26	129.69
NAV2	89797	107.38	237.86	547.75	466.88	209.84	540.19	384.34	202.66	1066.48	339.14	191.67	281.09	371.22	1008.9	301.33	1225.22	497	299.25	1457.23	624.99	629.35	429.54	981.29	551.56	441.64	591.22	358.54	595.34	100.13	358.54	336.79	457.25
C10orf111	221060	4.66	2.01	8.58	0	5.68	3.5	4.74	15.22	5.5	4.86	5.63	2.56	8.19	3.63	12.64	4.54	3.56	4.13	3.56	1.73	4.82	8.71	1.36	6.78	4.24	1.77	6.57	1.97	3.53	3.82	5.87	2.66
APC	324	73.54	84.04	101.54	108.9	94.01	164.42	129.69	273.37	220.32	72.01	134.3	76.17	136.19	190.34	190.34	204.07	194.36	153.34	140.04	332.14	181.28	186.4	151.22	426.57	281.09	241.19	82.87	167.9	125.24	62.12	115.97	221.86
AEN	64782	101.54	131.51	69.52	173.85	212.78	241.19	151.22	197.09	173.85	120.1	88.26	87.65	226.54	215.77	123.5	139.07	146.03	423.61	173.85	141.02	198.47	84.63	293.07	163.28	186.4	175.07	139.07	134.3	183.82	102.25	341.51	234.57
C3orf22	152065	1.93	0.61	0.25	0	1.1	0	0.38	0	0.28	1.89	0.52	1.01	0.24	0.28	0	0.97	0	0.42	0.45	0	1.45	0	0	0	0.49	0	0	0	0	0	0	0
XAF1	54739	1572.76	23.59	201.25	186.4	212.78	178.77	49.21	1331.57	98.04	275.28	2178.83	199.85	130.6	83.45	392.44	232.94	46.18	1023	529.06	94.67	78.89	371.22	133.36	42.11	81.71	366.09	157.68	29.7	579.04	140.04	242.88	80.57
CXorf28	0	1.53	0	0	0	0	2.61	0	4.7	0	0	0	5.63	1.36	0	2.51	16.75	0	4.35	3.59	0	0	0	0	2.03	0	0	0	0	2.2	0	0	0
RP11-865B13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.57	0	0	10.47	0	0	0	0	0
AADACL2	344752	0	0	0.31	0	0	0.83	0.38	0	0.57	0	0	0	0	0	0	0	0	0	0	0.56	0	0	0	0.31	1.62	1.03	0	0	0	0	0	0
ZNF763	284390	51.35	111.21	105.15	40.93	53.57	136.19	63.45	204.07	85.22	438.59	68.07	92.05	212.78	153.34	198.47	204.07	109.66	57.49	71	172.65	103.69	265.87	61.68	158.79	82.87	154.42	132.44	102.97	58.3	100.83	88.88	100.83
NDE1	54820	176.29	95.34	329.84	297.17	145.02	258.57	157.68	423.61	236.21	172.65	163.28	144.01	279.14	151.22	273.37	239.52	249.73	129.69	316.37	299.25	199.85	279.14	423.61	246.28	334.46	325.29	262.2	142.01	283.05	116.78	115.16	265.87
KIAA1658	0	0	0	0	17.13	0	0	0	0	0	0	0	0	0	0	23.08	0	0	0	0	0	0	0	0	14.14	0	14.67	0	16.15	0	16.63	0	0
EDARADD	128178	153.34	2.29	12.83	84.04	21.47	45.21	69.03	183.82	40.07	20.41	35.76	92.05	48.87	24.81	4.46	12.74	14.56	11.3	110.43	77.25	60.82	57.08	24.99	23.76	31	208.38	73.03	164.42	73.03	81.14	19.97	146.03
ADAM21	8747	2.61	4.98	4.58	3.89	3.44	3.56	6.41	5.15	3.47	0.82	5.87	0.8	4.54	4.98	3.44	3	6.84	0.82	6.67	2.94	9.85	5.28	6.94	1.97	7.57	6.36	1.13	2.86	1.03	3.96	3	3.86
CCDC74B	90557	70.51	30.78	854.13	105.15	63	120.94	18.16	633.73	170.25	24.99	161.02	36.53	167.9	32.59	884.29	124.37	161.02	2.78	138.1	113.56	63.89	376.41	78.34	64.8	124.37	58.71	121.79	42.41	87.03	133.36	9.13	54.72
ZNF267	10308	87.03	55.89	48.18	176.29	209.84	104.42	77.79	131.51	113.56	72.01	77.25	195.72	153.34	131.51	60.82	78.89	96.01	373.81	159.9	176.29	144.01	73.54	121.79	76.17	111.99	264.03	91.41	70.51	144.01	72.52	180.02	127
CTSB	1508	11035.54	32994.92	4450.27	7642.41	23656.34	19082	23820.89	5479.15	13492.72	13492.72	10959.3	20737.16	18052.61	25708.25	4903.87	10014.87	20593.91	18819.27	9808.75	20593.91	18950.18	4802.93	25530.66	5791.62	21026.65	9088.59	10808.41	26248.46	11189.6	6337.83	5076.84	30572.63
CDK12	51755	182.55	285.03	264.03	269.6	285.03	447.82	228.13	540.19	353.59	249.73	237.86	205.5	312	307.69	351.14	291.04	242.88	353.59	289.02	1044.52	363.56	381.68	376.41	387.02	514.56	490.14	320.8	251.48	255	162.14	202.66	346.29
C1orf35	79169	124.37	163.28	301.33	153.34	295.11	244.57	143.01	426.57	187.71	129.69	221.86	256.78	279.14	209.84	476.71	368.65	194.36	204.07	208.38	318.57	301.33	314.17	353.59	226.54	242.88	211.31	224.97	131.51	228.13	244.57	115.97	253.23
DACT3	147906	16.88	27.84	189.02	536.45	48.52	177.53	46.5	217.27	157.68	53.57	9.2	16.51	224.97	25.17	163.28	181.28	59.55	34.26	145.02	251.48	150.17	167.9	36.79	171.45	301.33	808	152.28	41.52	120.1	33.06	79.45	51.35
REP15	387849	33.06	29.91	28.04	5.15	39.79	12.83	17	81.71	13.32	27.84	40.64	18.97	22.92	98.04	57.49	20.41	53.57	7.94	31.45	7.17	33.3	28.24	16.63	6.89	22.92	27.64	12.64	18.43	93.35	43.63	98.73	25.91
MCFD2	90411	1001.93	780.44	896.64	2119.22	1051.79	1417.35	1427.22	1427.22	1467.37	1059.11	974.5	974.5	1447.15	1143.1	954.43	934.76	1208.34	3564.78	1457.23	2148.82	1119.56	1286.18	2104.58	2119.22	1322.37	1883.54	1313.23	1417.35	928.3	836.53	825	1427.22
IFRD2	7866	656.11	698.41	665.29	909.17	1583.71	1051.79	974.5	928.3	647.07	547.75	825	1199.98	748.61	1127.35	532.74	1096.5	486.75	1909.85	460.44	356.05	866.07	607.87	1225.22	1037.29	743.43	764.36	743.43	607.87	928.3	1051.79	2609.3	1015.93
SLC39A6	25800	575.03	532.74	1447.15	1199.98	656.11	1159.07	1088.92	928.3	1447.15	262.2	713.11	603.67	1096.5	723.08	974.5	928.3	1457.23	836.53	1277.29	1870.53	1023	1127.35	1909.85	1498.22	1199.98	1508.65	1259.69	1044.52	500.46	728.11	775.05	1674.06
ALPPL2	251	0	0	0	0	0	0	0	2.92	0	0	0	0	0	0	0	0	0	0	0.61	0.93	0	0.53	0.43	0	0	0	0	0	0	0	0	0
C22orf34	0	2.43	13.32	47.5	34.26	47.17	17.38	23.93	89.51	11.82	9.63	83.45	78.34	18.84	20.56	45.85	23.76	13.83	214.27	45.21	23.08	16.27	42.41	2.39	49.91	56.68	22.26	45.53	6.16	74.06	53.57	156.59	9.93
ZFP57	346171	3.63	15.45	0.96	34.02	1.39	3.11	1.22	0	0	79.45	7.06	45.21	4.21	7.94	0	4.54	6.84	0	18.29	0	8.51	27.44	5.73	0.97	17.25	0	1.5	1.43	5.41	94.01	1.99	0
PARM1	25849	329.84	974.5	1896.65	363.56	463.65	7081.29	981.29	1605.83	3589.58	173.85	441.64	460.44	6471.02	733.19	688.78	307.69	1950	587.13	379.04	3540.14	878.17	1250.98	429.54	4543.8	2609.3	1745.2	928.3	1572.76	297.17	291.04	318.57	808
CCHCR1	54535	191.67	277.2	656.11	521.76	1037.29	466.88	389.72	884.29	346.29	327.56	316.37	928.3	400.71	173.85	432.53	540.19	373.81	152.28	500.46	551.56	283.05	785.88	339.14	291.04	281.09	708.18	237.86	201.25	497	500.46	155.5	318.57
FAM65C	140876	258.57	176.29	890.44	132.44	162.14	587.13	145.02	5995.9	497	131.51	118.43	195.72	633.73	97.36	2090.03	80.57	264.03	18.43	273.37	1639.59	224.97	1870.53	61.68	808	480.04	493.56	432.53	63	708.18	172.65	33.3	170.25
C10orf107	219621	18.84	18.56	525.39	34.26	0.79	17.51	47.5	75.11	21.47	267.73	39.5	32.36	88.88	114.36	186.4	32.82	63	11.3	48.18	251.48	20.41	41.52	5.87	73.03	65.26	83.45	39.5	19.82	1.28	3.44	17.9	23.25
PHC1	1911	271.48	273.37	567.1	791.35	665.29	432.53	343.89	1733.13	536.45	239.52	483.38	432.53	256.78	232.94	896.64	414.87	435.55	150.17	470.14	376.41	384.34	486.75	314.17	540.19	329.84	693.58	713.11	260.38	518.15	195.72	417.77	301.33
SMURF1	57154	111.99	186.4	189.02	412	215.77	387.02	218.79	325.29	264.03	96.01	136.19	193.01	339.14	223.41	236.21	273.37	202.66	438.59	241.19	389.72	269.6	201.25	314.17	264.03	269.6	253.23	262.2	154.42	237.86	137.14	206.94	271.48
NMUR1	10316	11.21	32.36	42.41	10.88	5.54	23.93	9.48	64.8	19.11	5.36	25.17	20.26	29.06	7.63	28.45	27.64	16.15	5.45	53.95	18.97	12.93	35	10.24	5.92	67.12	53.57	3.44	17.77	34.02	36.27	0	11.3
MARVELD1	83742	82.29	149.12	206.94	325.29	96.01	802.41	89.51	830.75	265.87	116.78	124.37	63	848.22	97.36	447.82	181.28	271.48	147.06	173.85	514.56	206.94	417.77	444.72	293.07	764.36	836.53	166.73	78.89	406.31	169.07	55.49	81.14
ZFP3	124961	53.95	147.06	60.82	24.99	132.44	108.9	100.13	171.45	183.82	48.52	61.25	61.68	117.6	116.78	134.3	318.57	130.6	38.67	76.71	149.12	183.82	130.6	77.25	127	102.97	161.02	53.95	126.12	53.57	66.65	126.12	120.1
PHB	5245	11909.94	8538.88	5751.61	3168.41	5147.73	5711.87	7857.29	3060.45	7433.4	11992.79	5292.48	4903.87	5219.6	6337.83	3820.7	6250.56	8022.41	5255.91	5594.3	3820.7	7081.29	4239.45	9876.98	4450.27	5995.9	4210.15	5112.16	8840.04	4210.15	9540.5	3589.58	6699.25
SESN3	143686	182.55	111.21	287.01	305.55	152.28	264.03	181.28	1709.26	248	251.48	209.84	140.04	314.17	185.11	599.49	156.59	178.77	94.01	202.66	579.04	194.36	579.04	189.02	656.11	323.03	555.41	129.69	182.55	150.17	229.72	90.14	309.83
HIST2H2AC	8338	33.78	17.51	61.68	74.06	29.27	6.41	17.13	16.39	13.93	52.82	58.3	58.3	7.94	2.2	11.82	8.38	20.41	10.31	18.03	20.26	15.34	63.45	17.9	18.43	4.62	53.95	43.63	15.22	29.27	117.6	9.34	26.47
PABPC1L	80336	46.84	121.79	346.29	265.87	220.32	119.26	98.73	1286.18	208.38	15.45	190.34	256.78	81.14	112.77	713.11	267.73	114.36	31.45	116.78	59.13	93.35	743.43	80.01	74.06	78.89	214.27	175.07	41.81	228.13	96.01	126.12	92.05
ANKRD33B	651746	72.52	53.57	3.23	64.34	28.86	24.11	76.17	20.11	23.25	46.18	38.95	76.71	9.34	206.94	6.67	36.53	70.51	17.77	31.22	148.09	145.02	15.34	115.16	25.54	60.39	22.1	81.71	84.04	35.5	14.14	1.91	45.85
RABGAP1	23637	339.14	392.44	476.71	651.58	384.34	651.58	395.18	842.36	708.18	312	473.41	395.18	486.75	497	629.35	532.74	532.74	356.05	587.13	1037.29	633.73	651.58	473.41	633.73	743.43	1015.93	339.14	454.09	239.52	329.84	258.57	412
SC5D	6309	698.41	995	571.05	684.02	441.64	802.41	1437.15	381.68	1540.37	127	1059.11	819.3	555.41	1096.5	420.68	813.63	1001.93	860.08	2758.13	2061.24	1529.73	703.28	1457.23	1216.75	769.69	1066.48	713.11	1844.76	182.55	764.36	381.68	1617
MATN2	4147	529.06	579.04	2682.69	2875.3	579.04	1529.73	500.46	4419.52	1208.34	343.89	866.07	848.22	1697.45	201.25	2758.13	392.44	854.13	220.32	947.83	2367.9	660.68	3589.58	1073.91	1757.34	1467.37	4268.94	954.43	460.44	830.75	1127.35	728.11	476.71
COMMD6	170622	7230.1	4972.34	7589.61	7485.11	4328.55	4181.07	4095	3847.29	4328.55	9606.86	5076.84	4095	4419.52	3901.01	5633.22	3742.05	4123.49	2400.97	3982.99	3955.48	3768.09	5995.9	3540.14	3589.58	4704.07	5183.54	6426.31	3614.55	8078.22	7537.18	3467.27	4298.64
KRBA2	124751	40.36	89.51	77.79	34.02	75.11	69.03	70.01	242.88	175.07	114.36	77.79	52.08	55.1	72.01	153.34	273.37	111.21	16.39	108.14	118.43	110.43	182.55	88.88	102.97	67.12	106.63	67.59	167.9	56.68	74.58	38.4	170.25
UBE2U	148581	2.07	0	20.11	0	2.66	15	0	0	5.36	0	4.54	2.48	1.41	5.45	6.41	0	0	8.45	0	16.03	0	0	0	0	4.7	8.85	0	5.11	0	0	0	0
RP11-133K1.2	0	0	0	0	0	4.66	0	0	0	0	0	0	0	0	6.16	0	0	0	0	0	0	0	1.95	0	0	0	0	0	0	0	3.2	0	0
REN	5972	36.79	7695.57	0.69	283.05	3190.46	665.29	1832.01	1.16	780.44	88.26	37.32	397.93	59.97	1242.34	38.95	651.58	4095	403.5	201.25	607.87	23169.48	1.89	2976.74	0.36	62.56	10084.54	4543.8	915.51	2555.58	9945.68	567.1	1175.27
WDR63	126820	33.78	57.08	21.32	10.88	13.22	19.97	28.86	8	56.68	30.78	14.45	59.97	12.74	43.32	34.26	33.78	46.84	0	44.89	5.77	38.67	15.45	40.93	29.48	16.39	13.32	10.79	56.68	5.15	9.93	9.13	9.06
RBM22	55696	438.59	423.61	447.82	1044.52	713.11	808	514.56	1259.69	642.59	583.07	579.04	463.65	884.29	595.34	748.61	684.02	713.11	563.18	915.51	1023	642.59	660.68	579.04	579.04	860.08	961.07	583.07	466.88	1008.9	503.95	884.29	796.86
EXD3	54932	189.02	175.07	201.25	454.09	185.11	191.67	77.79	303.44	135.24	156.59	271.48	327.56	231.32	137.14	262.2	173.85	88.88	82.87	133.36	299.25	152.28	473.41	51.71	114.36	139.07	279.14	231.32	142.01	283.05	159.9	166.73	139.07
C19orf47	126526	193.01	150.17	281.09	97.36	127	231.32	149.12	249.73	265.87	316.37	170.25	115.16	234.57	185.11	295.11	258.57	177.53	176.29	202.66	193.01	234.57	271.48	182.55	353.59	264.03	249.73	191.67	197.09	185.11	212.78	157.68	231.32
TDRP	157695	297.17	414.87	629.35	624.99	447.82	295.11	287.01	1096.5	376.41	239.52	426.57	713.11	262.2	339.14	909.17	543.96	348.71	140.04	473.41	406.31	356.05	1407.55	312	373.81	206.94	341.51	295.11	234.57	384.34	265.87	414.87	351.14
GLI4	2738	182.55	463.65	351.14	41.22	237.86	209.84	164.42	339.14	178.77	158.79	267.73	206.94	334.46	358.54	299.25	376.41	209.84	146.03	142.01	186.4	348.71	297.17	172.65	226.54	241.19	165.57	186.4	120.94	94.67	172.65	98.73	332.14
C11orf70	85016	30.78	38.4	189.02	381.68	14.78	162.14	141.02	283.05	214.27	34.26	25.91	15.91	221.86	25.72	124.37	55.1	104.42	13.83	58.3	236.21	24.99	159.9	59.55	112.77	116.78	872.1	142.01	130.6	169.07	107.38	17.51	59.97
METTL14	57721	269.6	241.19	162.14	392.44	181.28	228.13	255	395.18	356.05	145.02	307.69	185.11	316.37	249.73	332.14	229.72	368.65	289.02	264.03	563.18	303.44	353.59	493.56	269.6	366.09	403.5	193.01	325.29	239.52	169.07	199.85	395.18
SH3GLB2	56904	967.76	1151.06	3303	2417.67	1697.45	2032.85	1143.1	3540.14	1769.57	764.36	1819.35	2004.85	1369.04	1059.11	4298.64	2367.9	1583.71	684.02	1540.37	1397.83	1991	3325.99	1183.45	2319.15	1594.73	1909.85	2664.15	941.27	1119.56	1427.22	1051.79	1111.82
RP11-58C22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYNC1LI1	51143	583.07	579.04	387.02	450.94	348.71	497	595.34	507.46	616.37	387.02	441.64	332.14	575.03	651.58	463.65	555.41	642.59	507.46	543.96	583.07	684.02	493.56	633.73	599.49	518.15	559.28	532.74	540.19	339.14	460.44	293.07	583.07
NKX2-8	26257	0	4.46	0	0	0	0	2.68	0	0	0	0	0	0	0	0	0	0	0	9.48	0	0	0	0	3.41	0	0	0	0	4.74	0	0	0
ALS2CL	259173	665.29	154.42	76.71	547.75	620.67	144.01	190.34	599.49	135.24	860.08	1551.09	2400.97	71.5	400.71	140.04	381.68	244.57	890.44	493.56	98.73	438.59	202.66	126.12	312	96.01	490.14	1096.5	181.28	2796.65	813.63	3280.18	379.04
PJA1	64219	406.31	346.29	753.83	728.11	603.67	733.19	587.13	547.75	567.1	842.36	409.15	363.56	624.99	299.25	674.59	612.11	703.28	376.41	603.67	521.76	507.46	688.78	642.59	713.11	723.08	679.29	624.99	432.53	1066.48	921.88	525.39	379.04
DNAH1	25981	34.26	55.89	26.67	29.7	25.54	65.72	29.48	66.65	30.34	14.03	64.8	66.65	31.22	53.95	26.1	130.6	18.03	39.5	21.01	139.07	35.5	36.27	7.22	59.55	39.79	84.63	48.87	13.42	27.05	6.62	28.04	105.15
ANKRD13D	338692	141.02	158.79	256.78	212.78	376.41	429.54	175.07	866.07	251.48	101.54	217.27	177.53	460.44	202.66	470.14	392.44	209.84	214.27	265.87	289.02	234.57	325.29	229.72	348.71	454.09	400.71	423.61	104.42	738.29	191.67	289.02	356.05
CEBPA	1050	2.12	11.91	1.03	0	2.48	9.56	6.11	5.36	7.17	12.36	1.11	5.59	4.78	5.28	3.29	8	10.96	1.45	5.92	3.69	7.4	0.08	5.32	4.54	65.26	0.73	2.43	1.93	0	11.21	0	7.34
ANKRD18A	253650	15.22	16.63	42.71	312	54.33	8.13	56.68	26.28	20.56	1.16	5.19	34.26	27.64	9.41	25.72	18.84	29.06	47.5	11.47	7.17	17	27.64	82.87	4.1	1.6	26.1	41.22	1.55	91.41	13.62	37.32	69.52
REEP1	65055	43.63	62.12	10.39	8.99	31.45	55.49	105.15	97.36	80.57	44.89	27.84	30.12	99.43	71.5	8.78	47.5	13.42	18.97	64.34	70.51	100.83	71	87.65	4.82	42.11	26.86	13.62	145.02	26.28	73.54	13.72	38.12
SCN5A	6331	5.32	0.09	0.55	1.2	1.28	2.58	0.43	11.47	5.96	0	0.6	8.38	2.78	0.33	8	1.95	1.06	5.41	0.53	2.18	2.53	2.71	6.06	1.07	3.99	2.78	1.39	0.16	1.69	0.21	4.1	0.39
NDP	4693	1.35	1.46	37.85	1.17	1.75	0	0	7.17	2.48	9.93	1.89	1.64	12.64	0	46.84	1.87	0	2.41	4.21	16.27	3.72	12.45	1.33	0	3.59	18.97	1.87	0	0	0	2.46	3.41
ZIM2	5178	3.41	3.11	7.82	7.75	14.14	10.16	5.45	28.86	9.13	0	7.88	6.31	3.17	6.62	11.04	7.82	7.46	4.06	16.15	12.93	16.51	5.45	5.28	7.46	8.13	5.68	0	2.27	4.31	0	0	4.13
SNAPC3	6619	633.73	229.72	318.57	454.09	220.32	358.54	316.37	728.11	486.75	316.37	540.19	237.86	351.14	384.34	400.71	318.57	406.31	242.88	400.71	426.57	532.74	450.94	316.37	503.95	358.54	842.36	371.22	420.68	264.03	381.68	215.77	332.14
ITGB8	3696	954.43	293.07	242.88	1175.27	1066.48	1340.84	242.88	447.82	346.29	175.07	1378.57	738.29	743.43	3847.29	117.6	1225.22	947.83	277.2	2485.67	2018.8	2591.27	444.72	2193.99	189.02	406.31	2739.08	493.56	228.13	223.41	555.41	775.05	2178.83
THAP8	199745	260.38	153.34	209.84	90.14	125.24	130.6	143.01	177.53	161.02	291.04	189.02	68.55	159.9	151.22	218.79	141.02	162.14	73.03	130.6	143.01	186.4	191.67	152.28	190.34	178.77	133.36	137.14	170.25	173.85	181.28	37.32	143.01
OXSM	54995	271.48	518.15	441.64	277.2	423.61	309.83	395.18	260.38	450.94	363.56	325.29	299.25	275.28	511	486.75	466.88	293.07	211.31	251.48	255	599.49	543.96	389.72	346.29	181.28	297.17	258.57	476.71	141.02	356.05	231.32	305.55
