Hugo_Symbol	Entrez_Gene_Id	GTEX-13NYB-1726-SM-5N9G2	GTEX-QDVN-1626-SM-48TZC	GTEX-ZYT6-2226-SM-5GIC9	GTEX-11TTK-1926-SM-5PNW8	GTEX-ZC5H-1726-SM-5HL7X	GTEX-ZVZP-0926-SM-5GIDB	GTEX-P4QS-1126-SM-3NMD5	GTEX-RN64-1626-SM-48FD7	GTEX-ZYFG-1626-SM-5GZYY	GTEX-N7MS-1626-SM-3LK5F	GTEX-13OW6-1826-SM-5N9F9	GTEX-T5JC-1526-SM-4DM68	GTEX-ZLFU-0926-SM-5P9F8	GTEX-1497J-0826-SM-5NQAJ	GTEX-13112-2126-SM-5GCO4	GTEX-UPIC-1126-SM-4IHLO	GTEX-145MN-0326-SM-5QGQI	GTEX-13O1R-2526-SM-5N9FW	GTEX-11GS4-2326-SM-5A5KS	GTEX-13OVI-1126-SM-5KLZF	GTEX-XPVG-0526-SM-4B65N	GTEX-13OVL-1826-SM-5KLZR	GTEX-QLQW-1626-SM-4R1K1	GTEX-12696-0926-SM-5FQTV	GTEX-1399S-0526-SM-5IJG8	GTEX-147F4-2626-SM-5Q5CS	GTEX-13RTJ-2226-SM-5S2Q1	GTEX-Y5V6-2026-SM-5IFHO	GTEX-NPJ8-2226-SM-3TW8D	GTEX-11OF3-1326-SM-5N9FJ	GTEX-ZYFD-1526-SM-5NQ7T	GTEX-12WSG-0826-SM-5EQ5A
GDAP2	54834	348.71	157.68	231.32	334.46	226.54	120.94	183.82	241.19	206.94	356.05	220.32	214.27	130.6	191.67	201.25	167.9	251.48	162.14	255	88.26	153.34	249.73	164.42	159.9	132.44	239.52	199.85	194.36	295.11	244.57	170.25	185.11
IGFL3	388555	0	0	0	0	0	0	1.97	0	0	0	0	0	0	0	5.15	0	0	0	0	0	0	0	0	4.1	0	0	0	0	0	0	0	0
PHF16	0	59.97	63.45	124.37	114.36	76.71	128.79	86.43	251.48	124.37	34.75	88.88	74.06	128.79	104.42	107.38	117.6	92.7	139.07	171.45	281.09	118.43	126.12	153.34	127.89	183.82	147.06	60.82	106.63	89.51	92.7	123.5	127
CLEC7A	64581	7.22	56.28	53.57	32.82	47.17	186.4	50.27	79.45	78.89	0	19.82	10.16	149.12	48.18	67.59	46.5	140.04	102.25	79.45	223.41	87.65	30.34	82.87	36.01	189.02	77.79	23.93	27.05	28.24	40.07	19.11	224.97
RABEP2	79874	209.84	281.09	514.56	91.41	414.87	420.68	339.14	591.22	305.55	403.5	248	197.09	490.14	271.48	954.43	450.94	318.57	289.02	351.14	182.55	329.84	540.19	251.48	679.29	454.09	303.44	395.18	295.11	305.55	255	417.77	454.09
ZNF486	90649	51.35	38.12	629.35	109.66	131.51	221.86	59.13	454.09	376.41	141.02	100.83	115.16	232.94	39.5	363.56	591.22	226.54	384.34	285.03	249.73	209.84	603.67	381.68	463.65	145.02	346.29	158.79	80.57	265.87	69.03	115.16	90.77
CHDH	55349	4152.18	1088.92	129.69	100.13	507.46	514.56	2287.2	414.87	444.72	3190.46	1936.53	674.59	423.61	2133.97	244.57	759.08	1259.69	202.66	314.17	921.88	1572.76	547.75	447.82	224.97	341.51	279.14	305.55	1119.56	265.87	1143.1	43.32	1340.84
ZC3HAV1	56829	285.03	285.03	271.48	255	514.56	351.14	497	314.17	307.69	251.48	497	228.13	376.41	242.88	172.65	295.11	277.2	483.38	480.04	486.75	320.8	295.11	429.54	194.36	429.54	409.15	255	309.83	497	212.78	748.61	780.44
NKX6-2	84504	1.5	0	0	8.71	0	5.02	2.25	1.2	2.68	0	0	0	4.9	4.24	2.07	4.39	0	2.43	1.57	1.11	3.96	0	2.03	0	3.2	1.58	2.2	0	0	1.36	0	1.85
TMEM187	8269	110.43	392.44	406.31	128.79	163.28	224.97	173.85	220.32	232.94	120.1	173.85	217.27	271.48	151.22	387.02	178.77	201.25	92.05	178.77	256.78	234.57	323.03	269.6	291.04	303.44	307.69	281.09	236.21	108.14	279.14	130.6	269.6
NOC4L	79050	228.13	435.55	429.54	329.84	264.03	432.53	148.09	435.55	343.89	325.29	262.2	277.2	547.75	299.25	543.96	480.04	223.41	595.34	265.87	226.54	285.03	397.93	432.53	633.73	403.5	293.07	525.39	229.72	220.32	223.41	521.76	400.71
